,repo_name,repo_link,repo_number_of_stars,repo_number_of_forks,repo_is_forked,percentage_python_lang,number_of_code_lines_in_repo,lambdas_number
69,certbot,https://github.com/certbot/certbot,29000.0,32000.0,False,94.3,2126,0
70,chainer,https://github.com/chainer/chainer,57000.0,14000.0,False,76.3,11514,5
71,chalice,https://github.com/aws/chalice,9000.0,927.0,False,99.8,9213,6
72,cheatsheets,https://github.com/matplotlib/cheatsheets,63000.0,799.0,False,56.0,2154,1
73,chia-blockchain,https://github.com/Chia-Network/chia-blockchain,109000.0,19000.0,False,99.1,5661,3
74,ckan,https://github.com/ckan/ckan,34000.0,18000.0,False,58.9,1224,1
75,click,https://github.com/pallets/click,126000.0,13000.0,False,100.0,4525,18
76,coala,https://github.com/coala/coala,33000.0,14000.0,False,94.8,1871,2
77,coconut,https://github.com/evhub/coconut,35000.0,104.0,False,98.9,3338,12
78,commix,https://github.com/commixproject/commix,33000.0,700.0,False,100.0,11,0
79,connexion,https://github.com/spec-first/connexion,4000.0,708.0,False,100.0,4082,0
80,cookiecutter,https://github.com/cookiecutter/cookiecutter,174000.0,17000.0,False,98.7,5274,6
81,cookiecutter-django,https://github.com/cookiecutter/cookiecutter-django,94000.0,24000.0,False,70.0,1423,1
82,cookiecutter-flask,https://github.com/cookiecutter-flask/cookiecutter-flask,41000.0,722.0,False,67.1,82,0
83,cookiecutter-pypackage,https://github.com/audreyfeldroy/cookiecutter-pypackage,35000.0,16000.0,False,84.4,568,0
84,coursera-dl,https://github.com/coursera-dl/coursera-dl,88000.0,21000.0,False,94.3,4580,2
85,cpython,https://github.com/python/cpython,456000.0,237000.0,False,65.5,112353,89
86,cryptography,https://github.com/pyca/cryptography,48000.0,1000.0,False,90.8,5520,6
87,cupy,https://github.com/cupy/cupy,61000.0,599.0,False,55.0,4753,0
88,cython,https://github.com/cython/cython,71000.0,13000.0,False,48.0,4107,8
89,d2l-en,https://github.com/d2l-ai/d2l-en,137000.0,31000.0,False,61.7,7168,53
90,d2l-zh,https://github.com/d2l-ai/d2l-zh,33000.0,77000.0,False,70.7,5673,38
